ID,plug,species,tank,treatment,chim,size,dose,days,disease,surv,area,perc_left,rate,prev
CN260,C3,Cnat,disease2,disease,solitary,small,1,2,0,1,0.417,,,
CN261,C3,Cnat,disease2,disease,solitary,small,1,2,1,1,0.553,55,27.5,
CN262,C3,Cnat,disease2,disease,solitary,small,1,2,0,1,0.584,,,
CN263,C3,Cnat,disease2,disease,chimera,small,1,2,0,1,0.598,,,
CN264,C3,Cnat,disease2,disease,solitary,small,1,2,0,1,0.665,,,
CN265,C3,Cnat,disease2,disease,chimera,small,1,2,0,1,0.678,,,
CN266,C3,Cnat,disease2,disease,solitary,small,1,2,0,1,0.722,,,
CN267,C3,Cnat,disease2,disease,chimera,small,1,2,0,1,0.871,,,
CN268,C3,Cnat,disease2,disease,chimera,small,1,2,0,1,0.92,,,
CN269,C3,Cnat,disease2,disease,solitary,small,1,2,0,1,0.966,,,
CN270,C3,Cnat,disease2,disease,solitary,medium,1,2,0,1,1.108,,,
CN271,C3,Cnat,disease2,disease,solitary,medium,1,2,0,1,1.267,,,
CN272,C3,Cnat,disease2,disease,solitary,medium,1,2,0,1,1.547,,,
CN273,C3,Cnat,disease2,disease,solitary,medium,1,2,0,1,1.564,,,
CN274,C3,Cnat,disease2,disease,chimera,medium,1,2,0,1,1.689,,,
CN275,C3,Cnat,disease2,disease,chimera,medium,1,2,0,1,1.839,,,
CN276,C3,Cnat,disease2,disease,chimera,medium,1,2,0,1,2.086,,,
CN277,C3,Cnat,disease2,disease,chimera,medium,1,2,0,1,2.583,,,
CN278,C4,Cnat,disease2,disease,solitary,small,1,2,0,1,0.95,,,
CN279,C5,Cnat,disease2,disease,solitary,large,1,2,0,1,9.611,,,
CN280,C6,Cnat,disease2,disease,chimera,small,1,2,0,1,0.266,,,
CN281,C6,Cnat,disease2,disease,solitary,small,1,2,0,1,0.437,,,
CN282,C6,Cnat,disease2,disease,solitary,small,1,2,0,1,0.468,,,
CN283,C6,Cnat,disease2,disease,chimera,small,1,2,0,1,0.481,,,
CN284,C6,Cnat,disease2,disease,chimera,small,1,2,0,1,0.536,,,
CN285,C6,Cnat,disease2,disease,chimera,small,1,2,0,1,0.552,,,
CN286,C6,Cnat,disease2,disease,chimera,small,1,2,0,1,0.602,,,
CN287,C6,Cnat,disease2,disease,solitary,small,1,2,0,1,0.659,,,
CN288,C6,Cnat,disease2,disease,solitary,small,1,2,0,1,0.872,,,
CN289,C6,Cnat,disease2,disease,solitary,small,1,2,0,1,0.878,,,
CN290,C6,Cnat,disease2,disease,chimera,medium,1,2,0,1,1.807,,,
CN291,C7,Cnat,disease2,disease,solitary,small,1,2,0,1,0.497,,,
CN292,C7,Cnat,disease2,disease,solitary,small,1,2,0,1,0.586,,,
CN293,C8,Cnat,disease2,disease,solitary,small,1,2,1,1,0.271,70,35,
CN294,C8,Cnat,disease2,disease,chimera,small,1,2,0,1,0.293,,,
CN295,C8,Cnat,disease2,disease,chimera,small,1,2,0,1,0.405,,,
CN296,C8,Cnat,disease2,disease,chimera,small,1,2,0,1,0.438,,,
CN297,C8,Cnat,disease2,disease,chimera,small,1,2,0,1,0.441,,,
CN298,C8,Cnat,disease2,disease,chimera,small,1,2,0,1,0.489,,,
CN299,C8,Cnat,disease2,disease,chimera,small,1,2,0,1,0.571,,,
CN300,C8,Cnat,disease2,disease,chimera,small,1,2,0,1,0.6,,,
CN301,C8,Cnat,disease2,disease,chimera,small,1,2,0,1,0.678,,,
CN302,C8,Cnat,disease2,disease,solitary,small,1,2,0,1,0.775,,,
CN303,C8,Cnat,disease2,disease,solitary,small,1,2,0,0,0.978,0,50,
CN304,C8,Cnat,disease2,disease,chimera,small,1,2,0,1,0.981,,,
CN305,C8,Cnat,disease2,disease,solitary,small,1,2,0,1,0.988,,,
CN306,C8,Cnat,disease2,disease,solitary,medium,1,2,0,1,1.078,,,
CN307,C8,Cnat,disease2,disease,solitary,medium,1,2,0,1,1.148,,,
CN308,C8,Cnat,disease2,disease,chimera,medium,1,2,0,1,1.217,,,
CN309,C8,Cnat,disease2,disease,chimera,medium,1,2,0,1,1.266,,,
CN310,C9,Cnat,disease2,disease,chimera,small,1,2,0,1,0.26,,,
CN311,C9,Cnat,disease2,disease,chimera,small,1,2,0,1,0.221,,,
CN312,C9,Cnat,disease2,disease,solitary,small,1,2,0,1,0.274,,,
CN313,C9,Cnat,disease2,disease,chimera,small,1,2,0,1,0.276,,,
CN314,C9,Cnat,disease2,disease,chimera,small,1,2,0,1,0.28,,,
CN315,C9,Cnat,disease2,disease,chimera,small,1,2,0,1,0.305,,,
CN316,C9,Cnat,disease2,disease,chimera,small,1,2,0,1,0.318,,,
CN317,C9,Cnat,disease2,disease,solitary,small,1,2,0,1,0.377,,,
CN318,C9,Cnat,disease2,disease,chimera,small,1,2,0,1,0.377,,,
CN319,C9,Cnat,disease2,disease,chimera,small,1,2,0,1,0.38,,,
CN320,C9,Cnat,disease2,disease,chimera,small,1,2,1,1,0.41,90,45,
CN321,C9,Cnat,disease2,disease,solitary,small,1,2,0,1,0.425,,,
CN322,C9,Cnat,disease2,disease,chimera,small,1,2,0,1,0.455,,,
CN323,C9,Cnat,disease2,disease,chimera,small,1,2,0,1,0.471,,,
CN324,C9,Cnat,disease2,disease,chimera,small,1,2,0,1,0.473,,,
CN325,C9,Cnat,disease2,disease,solitary,small,1,2,0,1,0.49,,,
CN326,C9,Cnat,disease2,disease,solitary,small,1,2,0,1,0.503,,,
CN327,C9,Cnat,disease2,disease,chimera,small,1,2,0,1,0.503,,,
CN328,C9,Cnat,disease2,disease,solitary,small,1,2,0,1,0.529,,,
CN329,C9,Cnat,disease2,disease,chimera,small,1,2,0,1,0.584,,,
CN330,C9,Cnat,disease2,disease,solitary,small,1,2,0,1,0.661,,,
CN331,C9,Cnat,disease2,disease,solitary,small,1,2,0,1,0.705,,,
CN332,C9,Cnat,disease2,disease,solitary,small,1,2,0,1,0.772,,,
CN333,C9,Cnat,disease2,disease,solitary,small,1,2,1,1,0.794,10,5,
CN334,C9,Cnat,disease2,disease,solitary,small,1,2,0,1,0.857,,,
CN335,C9,Cnat,disease2,disease,solitary,small,1,2,0,1,0.881,,,
CN336,C9,Cnat,disease2,disease,solitary,small,1,2,0,1,0.893,,,
CN337,C9,Cnat,disease2,disease,solitary,small,1,2,0,1,0.912,,,
CN338,C9,Cnat,disease2,disease,chimera,medium,1,2,0,1,1.099,,,
CN339,C9,Cnat,disease2,disease,solitary,medium,1,2,0,1,1.168,,,
CN340,C9,Cnat,disease2,disease,solitary,medium,1,2,0,1,1.219,,,
CN341,C9,Cnat,disease2,disease,chimera,medium,1,2,0,1,1.443,,,
CN342,D1,Cnat,disease3,disease,chimera,small,1,2,0,1,0.486,,,
CN343,D1,Cnat,disease3,disease,chimera,small,1,2,0,0,0.508,0,50,
CN344,D1,Cnat,disease3,disease,chimera,small,1,2,0,1,0.514,,,
CN345,D1,Cnat,disease3,disease,chimera,small,1,2,0,0,0.591,0,50,
CN346,D1,Cnat,disease3,disease,chimera,small,1,2,0,1,0.602,,,
CN347,D1,Cnat,disease3,disease,solitary,small,1,2,0,1,0.998,,,
CN348,D1,Cnat,disease3,disease,chimera,medium,1,2,0,1,1.195,,,
CN349,D1,Cnat,disease3,disease,chimera,medium,1,2,0,1,1.724,,,
CN350,D1,Cnat,disease3,disease,solitary,medium,1,2,0,1,3.485,,,
CN351,D1,Cnat,disease3,disease,chimera,medium,1,2,0,1,3.806,,,
CN352,D1,Cnat,disease3,disease,solitary,large,1,2,0,1,5.104,,,
CN353,D10,Cnat,disease3,disease,solitary,medium,1,2,0,1,1.872,,,
CN354,D2,Cnat,disease3,disease,solitary,small,1,2,0,1,0.348,,,
CN355,D2,Cnat,disease3,disease,solitary,small,1,2,1,1,0.527,25,12.5,
CN356,D2,Cnat,disease3,disease,solitary,small,1,2,0,1,0.601,,,
CN357,D2,Cnat,disease3,disease,chimera,small,1,2,0,1,0.61,,,
CN358,D2,Cnat,disease3,disease,solitary,small,1,2,0,1,0.718,,,
CN359,D2,Cnat,disease3,disease,chimera,small,1,2,0,1,0.915,,,
CN360,D2,Cnat,disease3,disease,chimera,small,1,2,0,1,1.043,,,
CN361,D2,Cnat,disease3,disease,chimera,medium,1,2,0,1,1.155,,,
CN362,D2,Cnat,disease3,disease,chimera,medium,1,2,0,1,1.19,,,
CN363,D2,Cnat,disease3,disease,chimera,medium,1,2,0,1,1.25,,,
CN364,D2,Cnat,disease3,disease,chimera,medium,1,2,0,1,1.334,,,
CN365,D2,Cnat,disease3,disease,chimera,medium,1,2,0,1,1.422,,,
CN366,D2,Cnat,disease3,disease,solitary,medium,1,2,0,1,1.613,,,
CN367,D2,Cnat,disease3,disease,solitary,medium,1,2,0,1,1.616,,,
CN368,D2,Cnat,disease3,disease,chimera,medium,1,2,0,1,1.67,,,
CN369,D2,Cnat,disease3,disease,chimera,medium,1,2,0,1,1.862,,,
CN370,D2,Cnat,disease3,disease,chimera,medium,1,2,0,1,1.964,,,
CN371,D2,Cnat,disease3,disease,chimera,medium,1,2,0,1,1.991,,,
CN372,D2,Cnat,disease3,disease,chimera,medium,1,2,0,1,2.079,,,
CN373,D2,Cnat,disease3,disease,chimera,medium,1,2,0,1,2.124,,,
CN374,D2,Cnat,disease3,disease,chimera,medium,1,2,0,1,2.236,,,
CN375,D2,Cnat,disease3,disease,chimera,medium,1,2,0,1,2.474,,,
CN376,D2,Cnat,disease3,disease,chimera,medium,1,2,0,1,2.569,,,
CN377,D2,Cnat,disease3,disease,chimera,medium,1,2,0,1,2.758,,,
CN378,D2,Cnat,disease3,disease,chimera,medium,1,2,0,1,3.222,,,
CN379,D2,Cnat,disease3,disease,solitary,medium,1,2,0,1,3.355,,,
CN380,D2,Cnat,disease3,disease,chimera,medium,1,2,0,1,3.363,,,
CN381,D2,Cnat,disease3,disease,chimera,medium,1,2,0,1,3.454,,,
CN382,D2,Cnat,disease3,disease,solitary,medium,1,2,0,1,3.989,,,
CN383,D2,Cnat,disease3,disease,chimera,medium,1,2,0,1,4.878,,,
CN384,D2,Cnat,disease3,disease,chimera,medium,1,2,0,1,5.023,,,
CN385,D2,Cnat,disease3,disease,chimera,large,1,2,0,1,5.711,,,
CN386,D2,Cnat,disease3,disease,chimera,large,1,2,0,1,6.232,,,
CN387,D2,Cnat,disease3,disease,solitary,large,1,2,0,1,6.714,,,
CN388,D2,Cnat,disease3,disease,chimera,large,1,2,0,1,7.014,,,
CN389,D2,Cnat,disease3,disease,chimera,large,1,2,0,1,8.414,,,
CN390,D2,Cnat,disease3,disease,chimera,large,1,2,0,1,8.686,,,
CN391,D3,Cnat,disease3,disease,chimera,small,1,2,0,1,0.425,,,
CN392,D3,Cnat,disease3,disease,chimera,small,1,2,0,1,0.52,,,
CN393,D3,Cnat,disease3,disease,chimera,small,1,2,0,0,0.696,0,50,
CN394,D3,Cnat,disease3,disease,chimera,small,1,2,0,1,0.775,,,
CN395,D3,Cnat,disease3,disease,chimera,small,1,2,0,1,0.808,,,
CN396,D3,Cnat,disease3,disease,chimera,medium,1,2,0,1,0.867,,,
CN397,D3,Cnat,disease3,disease,chimera,small,1,2,0,0,0.875,0,50,
CN398,D3,Cnat,disease3,disease,solitary,small,1,2,0,0,0.882,0,50,
CN399,D3,Cnat,disease3,disease,chimera,small,1,2,0,1,0.904,,,
CN400,D3,Cnat,disease3,disease,chimera,medium,1,2,0,1,1.151,,,
CN401,D3,Cnat,disease3,disease,solitary,medium,1,2,0,1,1.445,,,
CN402,D3,Cnat,disease3,disease,chimera,medium,1,2,0,1,1.652,,,
CN403,D3,Cnat,disease3,disease,chimera,medium,1,2,0,1,1.679,,,
CN404,D3,Cnat,disease3,disease,chimera,medium,1,2,0,1,2.342,,,
CN405,D3,Cnat,disease3,disease,chimera,medium,1,2,0,1,2.606,,,
CN406,D3,Cnat,disease3,disease,chimera,medium,1,2,0,1,2.637,,,
CN407,D3,Cnat,disease3,disease,chimera,large,1,2,0,1,7.86,,,
CN408,D3,Cnat,disease3,disease,chimera,medium,1,2,0,1,3.45,,,
CN409,D3,Cnat,disease3,disease,solitary,large,1,2,0,1,5.033,,,
CN410,D3,Cnat,disease3,disease,chimera,large,1,2,0,1,5.794,,,
CN411,D3,Cnat,disease3,disease,chimera,large,1,2,0,1,6.955,,,
CN412,D3,Cnat,disease3,disease,chimera,large,1,2,0,1,6.992,,,
CN413,D3,Cnat,disease3,disease,chimera,large,1,2,0,1,8.575,,,
CN414,D4,Cnat,disease3,disease,solitary,medium,1,2,0,1,3.307,,,
CN415,D5,Cnat,disease3,disease,solitary,small,1,2,0,1,0.298,,,
CN416,D5,Cnat,disease3,disease,solitary,small,1,2,0,1,0.321,,,
CN417,D5,Cnat,disease3,disease,chimera,small,1,2,0,1,0.348,,,
CN418,D5,Cnat,disease3,disease,chimera,small,1,2,0,1,0.444,,,
CN419,D5,Cnat,disease3,disease,solitary,small,1,2,1,1,0.462,45,22.5,
CN420,D5,Cnat,disease3,disease,solitary,small,1,2,1,1,0.468,15,7.5,
CN421,D5,Cnat,disease3,disease,solitary,small,1,2,0,1,0.483,,,
CN422,D5,Cnat,disease3,disease,chimera,small,1,2,0,1,0.484,,,
CN423,D5,Cnat,disease3,disease,chimera,small,1,2,0,1,0.53,,,
CN424,D5,Cnat,disease3,disease,solitary,small,1,2,0,1,0.543,,,
CN425,D5,Cnat,disease3,disease,solitary,small,1,2,0,1,0.564,,,
CN426,D5,Cnat,disease3,disease,solitary,small,1,2,0,1,0.6,,,
CN427,D5,Cnat,disease3,disease,chimera,small,1,2,0,1,0.684,,,
CN428,D5,Cnat,disease3,disease,solitary,small,1,2,0,1,0.686,,,
CN429,D5,Cnat,disease3,disease,solitary,small,1,2,0,1,0.699,,,
CN430,D5,Cnat,disease3,disease,chimera,small,1,2,0,1,0.715,,,
CN431,D5,Cnat,disease3,disease,solitary,small,1,2,0,1,0.862,,,
CN432,D5,Cnat,disease3,disease,solitary,small,1,2,0,1,0.901,,,
CN433,D5,Cnat,disease3,disease,solitary,small,1,2,1,1,0.901,50,25,
CN434,D5,Cnat,disease3,disease,solitary,small,1,2,0,1,0.922,,,
CN435,D5,Cnat,disease3,disease,solitary,small,1,2,0,1,0.96,,,
CN436,D5,Cnat,disease3,disease,chimera,small,1,2,0,1,0.967,,,
CN437,D5,Cnat,disease3,disease,chimera,medium,1,2,0,1,1.024,,,
CN438,D5,Cnat,disease3,disease,solitary,medium,1,2,0,1,1.175,,,
CN439,D5,Cnat,disease3,disease,chimera,medium,1,2,0,1,1.254,,,
CN440,D6,Cnat,disease3,disease,chimera,small,1,2,0,1,0.8,,,
CN441,D6,Cnat,disease3,disease,chimera,small,1,2,0,1,0.998,,,
CN442,D6,Cnat,disease3,disease,chimera,small,1,2,0,1,1.858,,,
CN443,D6,Cnat,disease3,disease,solitary,medium,1,2,0,1,2.679,,,
CN444,D6,Cnat,disease3,disease,chimera,medium,1,2,0,1,3.989,,,
CN445,D6,Cnat,disease3,disease,chimera,medium,1,2,0,1,4.129,,,
CN446,D7,Cnat,disease3,disease,chimera,small,1,2,0,1,0.698,,,
CN447,D7,Cnat,disease3,disease,solitary,medium,1,2,0,1,2.693,,,
CN448,D7,Cnat,disease3,disease,chimera,medium,1,2,0,1,6.047,,,
CN449,D8,Cnat,disease3,disease,solitary,small,1,2,0,1,0.763,,,
CN450,D8,Cnat,disease3,disease,solitary,small,1,2,0,1,0.973,,,
CN451,D8,Cnat,disease3,disease,solitary,medium,1,2,0,1,2.806,,,
CN452,D9,Cnat,disease3,disease,solitary,small,1,2,0,1,0.556,,,
CN453,D9,Cnat,disease3,disease,solitary,small,1,2,0,1,0.779,,,
DL1,A11,Dlab,control,control,solitary,large,1,2,0,1,117.793,,,
DL2,A12,Dlab,control,control,chimera,large,1,2,0,1,79.051,,,
DL3,A12,Dlab,control,control,chimera,large,1,2,0,1,123.731,,,
DL4,A13,Dlab,control,control,solitary,medium,1,2,0,1,26.579,,,
DL5,A14,Dlab,control,control,solitary,medium,1,2,0,1,32.046,,,
DL6,A15,Dlab,control,control,solitary,large,1,2,0,1,107.746,,,
DL7,A16,Dlab,control,control,solitary,small,1,2,0,1,8.61,,,
DL8,A16,Dlab,control,control,chimera,small,1,2,0,1,6.881,,,
DL9,A16,Dlab,control,control,chimera,medium,1,2,0,1,14.532,,,
DL10,A16,Dlab,control,control,chimera,medium,1,2,0,1,18.22,,,
DL11,B12,Dlab,disease1,disease,solitary,large,1,2,0,1,63.626,,,
DL12,B13,Dlab,disease1,disease,chimera,medium,1,2,1,1,44.385,95,2.5,
DL13,B13,Dlab,disease1,disease,chimera,large,1,2,0,1,74.571,,,
DL14,B14,Dlab,disease1,disease,chimera,small,1,2,0,1,3.431,,,
DL15,B14,Dlab,disease1,disease,chimera,medium,1,2,0,1,18.432,,,
DL16,B14,Dlab,disease1,disease,chimera,medium,1,2,0,1,22.934,,,
DL17,B15,Dlab,disease1,disease,chimera,small,1,2,1,1,5.209,90,5,
DL18,B15,Dlab,disease1,disease,chimera,medium,1,2,0,1,19.647,,,
DL19,B16,Dlab,disease1,disease,solitary,small,1,2,0,1,3.518,,,
DL20,B16,Dlab,disease1,disease,solitary,small,1,2,0,1,3.58,,,
DL21,B16,Dlab,disease1,disease,solitary,small,1,2,0,1,5.785,,,
DL22,B17,Dlab,disease1,disease,solitary,small,1,2,0,1,5.94,,,
DL23,C11,Dlab,disease2,disease,solitary,medium,1,2,1,1,33.434,95,2.5,
DL24,C11,Dlab,disease2,disease,chimera,small,1,2,0,1,6.672,,,
DL25,C11,Dlab,disease2,disease,chimera,large,1,2,0,1,59.128,,,
DL26,C12,Dlab,disease2,disease,solitary,medium,1,2,0,1,39.083,,,
DL27,C13,Dlab,disease2,disease,solitary,large,1,2,0,1,103.477,,,
DL28,C13,Dlab,disease2,disease,solitary,large,1,2,0,1,124.92,,,
DL29,C14,Dlab,disease2,disease,solitary,large,1,2,1,1,96.018,95,2.5,
DL30,C15,Dlab,disease2,disease,solitary,small,1,2,0,1,3.968,,,
DL31,C16,Dlab,disease2,disease,chimera,small,1,2,0,1,6.55,,,
DL32,C16,Dlab,disease2,disease,chimera,medium,1,2,0,1,23.954,,,
DL33,D11,Dlab,disease3,disease,solitary,medium,1,2,1,1,48.613,60,20,
DL34,D12,Dlab,disease3,disease,solitary,medium,1,2,1,1,35.341,95,2.5,
DL35,D13,Dlab,disease3,disease,solitary,large,1,2,0,1,59.103,,,
DL36,D14,Dlab,disease3,disease,solitary,large,1,2,0,1,83.598,,,
DL37,D15,Dlab,disease3,disease,chimera,small,1,2,0,1,7.005,,,
DL38,D15,Dlab,disease3,disease,chimera,medium,1,2,1,1,18.533,95,2.5,
DL39,D15,Dlab,disease3,disease,chimera,medium,1,2,0,1,20.885,,,
DL40,D15,Dlab,disease3,disease,chimera,medium,1,2,0,1,29.319,,,
DL41,D16,Dlab,disease3,disease,chimera,small,1,2,0,1,3.614,,,
DL42,D16,Dlab,disease3,disease,chimera,medium,1,2,0,1,13.213,,,
CN1,A1,Cnat,control,control,chimera,small,1,4,0,1,0.586,,,
CN2,A1,Cnat,control,control,chimera,small,1,4,0,1,0.705,,,
CN3,A1,Cnat,control,control,chimera,small,1,4,0,1,0.791,,,
CN4,A1,Cnat,control,control,chimera,small,1,4,0,1,0.945,,,
CN5,A1,Cnat,control,control,chimera,medium,1,4,0,1,1.839,,,
CN6,A1,Cnat,control,control,solitary,medium,1,4,0,1,1.876,,,
CN7,A1,Cnat,control,control,chimera,medium,1,4,0,1,2.184,,,
CN8,A1,Cnat,control,control,chimera,medium,1,4,0,1,2.538,,,
CN9,A1,Cnat,control,control,chimera,medium,1,4,0,1,2.887,,,
CN10,A1,Cnat,control,control,chimera,medium,1,4,0,1,4.08,,,
CN11,A1,Cnat,control,control,chimera,medium,1,4,0,1,4.768,,,
CN12,A1,Cnat,control,control,chimera,large,1,4,0,1,5.34,,,
CN13,A1,Cnat,control,control,chimera,large,1,4,0,1,5.973,,,
CN14,A1,Cnat,control,control,chimera,large,1,4,0,1,6.552,,,
CN15,A1,Cnat,control,control,solitary,large,1,4,0,1,7.197,,,
CN16,A1,Cnat,control,control,chimera,large,1,4,0,1,7.343,,,
CN17,A1,Cnat,control,control,solitary,large,1,4,0,1,12.564,,,
CN18,A10,Cnat,control,control,solitary,small,1,4,0,1,0.519,,,
CN19,A10,Cnat,control,control,chimera,small,1,4,0,1,0.736,,,
CN20,A10,Cnat,control,control,chimera,small,1,4,0,1,0.807,,,
CN21,A10,Cnat,control,control,solitary,medium,1,4,0,1,2.364,,,
CN22,A10,Cnat,control,control,solitary,medium,1,4,0,1,1.776,,,
CN23,A10,Cnat,control,control,solitary,medium,1,4,0,1,3.946,,,
CN24,A10,Cnat,control,control,solitary,medium,1,4,0,1,1.947,,,
CN25,A10,Cnat,control,control,solitary,medium,1,4,0,1,2.005,,,
CN26,A10,Cnat,control,control,solitary,large,1,4,0,1,6.886,,,
CN27,A10,Cnat,control,control,solitary,small,1,4,0,1,0.798,,,
CN28,A10,Cnat,control,disease,solitary,small,1,4,0,1,0.653,,,
CN29,A2,Cnat,control,control,chimera,small,1,4,0,1,0.456,,,
CN30,A2,Cnat,control,control,chimera,small,1,4,0,1,0.482,,,
CN31,A2,Cnat,control,control,chimera,small,1,4,0,1,0.504,,,
CN32,A2,Cnat,control,control,chimera,small,1,4,0,1,0.553,,,
CN33,A2,Cnat,control,control,chimera,small,1,4,0,1,0.601,,,
CN34,A2,Cnat,control,control,chimera,small,1,4,0,1,0.639,,,
CN35,A2,Cnat,control,control,solitary,small,1,4,0,1,0.654,,,
CN36,A2,Cnat,control,control,chimera,small,1,4,0,1,0.716,,,
CN37,A2,Cnat,control,control,solitary,medium,1,4,0,1,0.717,,,
CN38,A2,Cnat,control,control,chimera,small,1,4,0,1,0.745,,,
CN39,A2,Cnat,control,control,chimera,small,1,4,0,1,0.783,,,
CN40,A2,Cnat,control,control,solitary,small,1,4,0,1,0.798,,,
CN41,A2,Cnat,control,control,solitary,small,1,4,0,1,0.853,,,
CN42,A2,Cnat,control,control,chimera,small,1,4,0,1,0.904,,,
CN43,A2,Cnat,control,control,chimera,medium,1,4,0,1,1.21,,,
CN44,A2,Cnat,control,control,chimera,medium,1,4,0,1,1.326,,,
CN45,A2,Cnat,control,control,chimera,medium,1,4,0,1,1.593,,,
CN46,A2,Cnat,control,control,chimera,medium,1,4,0,1,1.733,,,
CN47,A2,Cnat,control,control,chimera,medium,1,4,0,1,1.784,,,
CN48,A2,Cnat,control,control,chimera,medium,1,4,0,1,1.814,,,
CN49,A2,Cnat,control,control,chimera,medium,1,4,0,1,1.907,,,
CN50,A2,Cnat,control,control,chimera,medium,1,4,0,1,1.917,,,
CN51,A2,Cnat,control,control,chimera,medium,1,4,0,1,2.036,,,
CN52,A2,Cnat,control,control,chimera,medium,1,4,0,1,2.385,,,
CN53,A2,Cnat,control,control,chimera,medium,1,4,0,1,2.443,,,
CN54,A2,Cnat,control,control,solitary,medium,1,4,0,1,2.658,,,
CN55,A2,Cnat,control,control,chimera,medium,1,4,0,1,2.802,,,
CN56,A2,Cnat,control,control,chimera,medium,1,4,0,1,2.84,,,
CN57,A2,Cnat,control,control,chimera,medium,1,4,0,1,3.128,,,
CN58,A2,Cnat,control,control,chimera,medium,1,4,0,1,3.58,,,
CN59,A2,Cnat,control,control,chimera,medium,1,4,0,1,3.752,,,
CN60,A2,Cnat,control,control,chimera,medium,1,4,0,1,4.693,,,
CN61,A2,Cnat,control,control,chimera,large,1,4,0,1,5.161,,,
CN62,A2,Cnat,control,control,chimera,large,1,4,0,1,5.239,,,
CN63,A2,Cnat,control,control,chimera,large,1,4,0,1,5.993,,,
CN64,A2,Cnat,control,control,solitary,large,1,4,0,1,6.275,,,
CN65,A2,Cnat,control,control,chimera,large,1,4,0,1,6.923,,,
CN66,A2,Cnat,control,control,chimera,large,1,4,0,1,8.309,,,
CN67,A2,Cnat,control,control,solitary,large,1,4,0,1,8.337,,,
CN68,A3,Cnat,control,control,solitary,small,1,4,0,1,0.67,,,
CN69,A4,Cnat,control,control,chimera,small,1,4,0,1,0.903,,,
CN70,A4,Cnat,control,control,chimera,medium,1,4,0,1,1.12,,,
CN71,A5,Cnat,control,control,solitary,small,1,4,0,1,0.791,,,
CN72,A5,Cnat,control,control,chimera,medium,1,4,0,1,1.715,,,
CN73,A5,Cnat,control,control,chimera,medium,1,4,0,1,1.831,,,
CN74,A5,Cnat,control,control,chimera,medium,1,4,0,1,1.956,,,
CN75,A5,Cnat,control,control,chimera,large,1,4,0,1,5.59,,,
CN76,A6,Cnat,control,control,solitary,small,1,4,0,1,0.836,,,
CN77,A6,Cnat,control,control,solitary,small,1,4,0,1,0.996,,,
CN78,A6,Cnat,control,control,solitary,small,1,4,0,1,0.431,,,
CN79,A7,Cnat,control,control,solitary,small,1,4,0,1,0.467,,,
CN80,A7,Cnat,control,control,solitary,small,1,4,0,1,0.679,,,
CN81,A7,Cnat,control,control,solitary,small,1,4,0,1,0.77,,,
CN82,A7,Cnat,control,control,solitary,small,1,4,0,1,0.785,,,
CN83,A7,Cnat,control,control,solitary,small,1,4,0,1,0.867,,,
CN84,A7,Cnat,control,control,solitary,small,1,4,0,1,0.907,,,
CN85,A8,Cnat,control,control,solitary,small,1,4,0,1,0.496,,,
CN86,A8,Cnat,control,control,solitary,small,1,4,0,1,0.541,,,
CN87,A9,Cnat,control,control,solitary,small,1,4,0,1,0.512,,,
CN88,B1,Cnat,disease1,disease,chimera,small,1,4,0,1,0.421,,,
CN89,B1,Cnat,disease1,disease,chimera,small,1,4,0,1,0.433,,,
CN90,B1,Cnat,disease1,disease,chimera,small,1,4,0,1,0.683,,,
CN91,B1,Cnat,disease1,disease,chimera,medium,1,4,0,1,1.401,,,
CN92,B1,Cnat,disease1,disease,chimera,medium,1,4,0,1,1.562,,,
CN93,B1,Cnat,disease1,disease,solitary,medium,1,4,0,1,1.785,,,
CN94,B1,Cnat,disease1,disease,solitary,medium,1,4,0,1,1.846,,,
CN95,B1,Cnat,disease1,disease,chimera,medium,1,4,0,1,1.882,,,
CN96,B1,Cnat,disease1,disease,chimera,medium,1,4,0,1,1.952,,,
CN97,B1,Cnat,disease1,disease,chimera,medium,1,4,0,1,1.996,,,
CN98,B1,Cnat,disease1,disease,chimera,medium,1,4,0,1,2.087,,,
CN99,B1,Cnat,disease1,disease,chimera,medium,1,4,0,1,2.158,,,
CN100,B1,Cnat,disease1,disease,chimera,medium,1,4,0,1,2.196,,,
CN101,B1,Cnat,disease1,disease,chimera,medium,1,4,0,1,2.316,,,
CN102,B1,Cnat,disease1,disease,chimera,medium,1,4,0,1,2.324,,,
CN103,B1,Cnat,disease1,disease,solitary,medium,1,4,0,1,2.61,,,
CN104,B1,Cnat,disease1,disease,solitary,medium,1,4,0,1,2.755,,,
CN105,B1,Cnat,disease1,disease,chimera,medium,1,4,0,1,3.002,,,
CN106,B1,Cnat,disease1,disease,chimera,medium,1,4,0,1,3.094,,,
CN107,B1,Cnat,disease1,disease,chimera,medium,1,4,0,1,3.347,,,
CN108,B1,Cnat,disease1,disease,chimera,medium,1,4,0,1,3.375,,,
CN109,B1,Cnat,disease1,disease,chimera,medium,1,4,0,1,3.578,,,
CN110,B1,Cnat,disease1,disease,chimera,medium,1,4,0,1,4.967,,,
CN111,B1,Cnat,disease1,disease,chimera,large,1,4,0,1,5.132,,,
CN112,B1,Cnat,disease1,disease,chimera,large,1,4,0,1,5.149,,,
CN113,B1,Cnat,disease1,disease,chimera,large,1,4,0,1,5.836,,,
CN114,B1,Cnat,disease1,disease,chimera,large,1,4,0,1,5.978,,,
CN115,B1,Cnat,disease1,disease,chimera,large,1,4,0,1,6.641,,,
